trial_id,subject,block,trial_in_block,condition,stimulus_category,rt_ms,accuracy,confidence,pupil_baseline_mm,pupil_peak_mm,theta_power_db,alpha_power_db,n170_uv,p300_uv
63,S01,3,3,incongruent,face,666.0,1,5.0,2.76,3.4,5.8,9.09,-4.18,6.02
64,S01,3,4,congruent,house,697.6,1,4.9,2.94,3.29,4.15,10.55,-1.25,6.69
65,S01,3,5,incongruent,house,676.9,0,2.3,3.16,3.79,7.67,8.5,-1.26,5.74
66,S01,3,6,congruent,face,639.7,1,4.2,3.0,3.25,3.82,10.18,-4.58,5.97
67,S01,3,7,incongruent,face,683.3,0,3.8,3.49,4.06,6.38,10.09,-3.17,6.26
68,S01,3,8,congruent,house,655.6,1,4.6,2.76,3.06,5.81,11.01,-1.21,6.42
69,S01,3,9,congruent,face,624.8,1,4.9,3.01,3.4,4.21,9.94,-4.3,5.75
70,S01,3,10,incongruent,house,678.9,1,5.0,3.08,3.59,4.23,8.13,-2.96,4.44
71,S01,3,11,congruent,face,678.2,1,4.1,3.08,3.44,6.1,6.62,-6.3,6.04
72,S01,3,12,incongruent,face,706.3,1,3.8,3.35,3.97,5.83,9.76,-4.03,4.61
73,S01,3,13,congruent,house,632.3,0,1.2,2.75,3.01,4.65,9.69,-4.21,5.42
74,S01,3,14,incongruent,face,785.8,1,3.8,3.01,3.45,4.36,8.46,-5.3,5.28
75,S01,3,15,incongruent,face,681.9,1,4.4,2.77,3.37,5.14,9.36,-4.31,3.47
76,S01,3,16,incongruent,house,703.6,1,4.0,3.48,4.09,5.52,10.1,-0.77,8.14
77,S01,3,17,congruent,face,687.0,1,3.2,2.98,3.37,4.83,8.62,-4.97,5.8
78,S01,3,18,congruent,house,734.9,1,4.7,2.98,3.32,4.4,6.82,-4.08,4.27
79,S01,3,19,incongruent,face,734.8,1,5.0,3.2,3.8,5.07,9.23,-3.57,4.59
80,S01,3,20,incongruent,face,700.7,1,3.3,2.8,3.34,5.93,7.65,-4.27,6.2
81,S01,3,21,congruent,house,689.7,1,5.0,2.97,3.41,4.95,9.51,-4.51,6.56
82,S01,3,22,congruent,face,663.7,1,3.5,3.18,3.48,4.46,10.33,-4.34,9.24
83,S01,3,23,congruent,house,636.6,1,3.8,3.09,3.44,4.31,10.79,-2.05,7.63
84,S01,3,24,congruent,house,697.4,1,4.4,2.94,3.31,4.48,11.94,-2.34,6.49
85,S01,3,25,incongruent,face,584.6,1,4.1,3.16,3.59,5.68,11.0,-3.48,5.64
86,S01,3,26,congruent,house,614.4,1,4.3,3.31,3.55,4.44,8.61,-3.67,6.87
87,S01,3,27,congruent,face,647.8,1,3.9,2.48,2.76,5.76,6.07,-4.65,5.15
88,S01,3,28,incongruent,face,644.8,1,4.5,3.56,4.07,5.96,6.82,-3.11,4.34
89,S01,3,29,incongruent,face,604.9,1,4.8,3.17,3.58,5.61,9.49,-6.18,3.9
90,S01,3,30,incongruent,face,687.4,1,5.0,3.22,3.8,7.6,8.34,-5.1,6.0
91,S01,4,1,congruent,face,573.7,0,3.1,2.92,3.35,4.82,9.1,-3.74,4.99
92,S01,4,2,congruent,house,664.7,1,4.4,3.01,3.33,4.61,9.7,-3.08,8.08
93,S01,4,3,incongruent,face,658.1,1,3.3,3.43,4.06,6.37,6.78,-3.47,5.97
94,S01,4,4,incongruent,face,674.1,1,4.5,3.14,3.7,6.73,10.07,-7.17,4.96
95,S01,4,5,congruent,face,624.4,1,3.3,3.18,3.47,4.43,11.17,-4.84,7.45
96,S01,4,6,congruent,face,704.0,1,4.0,3.24,3.49,5.73,9.01,-4.5,6.11
97,S01,4,7,congruent,face,631.7,1,4.1,3.23,3.55,6.46,7.52,-3.04,8.72
98,S01,4,8,congruent,house,732.5,1,4.8,3.11,3.45,4.75,10.47,-1.3,7.05
99,S01,4,9,incongruent,face,716.7,1,4.6,3.03,3.49,5.09,6.64,-4.06,5.28
100,S01,4,10,congruent,face,487.2,1,4.9,2.93,3.32,3.93,11.13,-4.44,7.21
101,S01,4,11,incongruent,face,661.4,1,3.9,3.23,3.75,5.42,10.36,-4.41,8.62
102,S01,4,12,incongruent,face,755.5,1,4.8,2.92,3.38,6.02,9.79,-4.26,3.6
103,S01,4,13,congruent,house,552.7,1,4.9,3.1,3.28,4.77,9.8,-0.6,4.76
104,S01,4,14,congruent,face,697.0,1,4.5,3.13,3.52,5.44,8.43,-3.42,4.88
105,S01,4,15,congruent,face,592.5,1,3.7,2.83,3.16,4.13,9.79,-5.45,7.8
106,S01,4,16,congruent,face,594.7,1,5.0,3.18,3.53,5.25,6.87,-4.34,9.6
107,S01,4,17,congruent,face,644.9,1,2.7,2.68,3.06,4.4,10.97,-4.62,4.09
108,S01,4,18,incongruent,face,551.5,0,2.8,2.99,3.61,6.54,8.4,-6.43,6.26
109,S01,4,19,congruent,face,664.4,1,5.0,2.86,3.28,3.72,8.28,-2.78,6.43
110,S01,4,20,congruent,house,642.9,1,5.0,3.04,3.26,4.34,10.66,-2.3,4.61
111,S01,4,21,congruent,house,615.8,1,3.7,2.92,3.34,5.47,9.83,-3.09,7.0
112,S01,4,22,incongruent,house,635.6,1,3.7,2.81,3.35,6.21,7.3,-2.67,5.09
113,S01,4,23,incongruent,house,621.8,1,4.1,3.36,3.71,5.94,10.63,-2.85,6.17
114,S01,4,24,congruent,face,614.8,1,2.5,3.34,3.62,4.58,7.74,-5.71,6.56
115,S01,4,25,incongruent,face,695.6,1,4.3,3.49,3.94,5.66,9.96,-3.04,3.41
116,S01,4,26,congruent,house,693.3,1,4.2,3.05,3.37,5.1,9.7,-2.74,6.91
117,S01,4,27,incongruent,house,818.3,0,3.1,2.91,3.49,5.73,10.11,-1.52,5.67
118,S01,4,28,incongruent,face,569.7,1,4.4,3.37,3.8,5.12,8.78,-4.32,5.8
119,S01,4,29,incongruent,face,719.0,0,2.8,2.73,3.3,4.01,9.38,-5.79,5.47
120,S01,4,30,incongruent,house,739.8,1,3.6,2.97,3.61,6.08,8.74,-2.94,3.21
121,S02,1,1,incongruent,face,622.8,0,4.6,2.82,3.27,6.56,10.03,-5.0,6.71
122,S02,1,2,incongruent,house,613.7,1,4.0,2.7,3.16,5.62,8.93,-4.32,7.78
123,S02,1,3,incongruent,house,588.4,1,3.4,2.97,3.51,4.85,9.97,-3.24,6.75
124,S02,1,4,congruent,house,585.3,1,3.0,2.75,2.99,3.63,10.49,-3.17,11.12
125,S02,1,5,congruent,face,483.2,1,4.2,2.52,2.82,5.83,8.86,-4.04,9.23
126,S02,1,6,incongruent,face,562.9,1,4.5,3.07,3.44,5.39,7.9,-4.83,7.25
127,S02,1,7,congruent,face,471.1,1,5.0,3.38,3.67,3.84,8.76,-4.23,7.85
128,S02,1,8,incongruent,face,587.6,1,3.1,2.97,3.49,4.34,8.37,-5.12,6.56
129,S02,1,9,congruent,house,568.8,1,4.6,2.91,3.14,4.72,9.41,-1.81,6.72
130,S02,1,10,incongruent,face,559.5,1,4.9,3.26,3.84,6.89,7.36,-4.23,4.75
131,S02,1,11,incongruent,house,553.4,1,4.0,2.8,3.31,4.66,12.57,-3.15,6.5
132,S02,1,12,congruent,house,622.8,1,4.3,2.76,3.06,3.71,11.75,-1.89,7.93
133,S02,1,13,congruent,house,576.9,1,4.9,2.7,3.01,5.21,8.01,-2.71,8.18
134,S02,1,14,incongruent,house,517.7,1,3.9,3.06,3.47,4.99,9.15,-2.26,5.97
135,S02,1,15,congruent,face,447.6,1,4.1,3.11,3.47,3.13,7.03,-4.03,7.79
136,S02,1,16,congruent,house,525.2,0,3.6,3.22,3.48,3.02,10.92,-1.48,8.7
137,S02,1,17,incongruent,face,627.7,0,2.3,3.04,3.55,5.34,7.26,-3.89,7.21
138,S02,1,18,incongruent,face,598.9,1,5.0,2.87,3.28,5.31,9.65,-5.8,4.57
139,S02,1,19,congruent,face,483.7,1,4.6,2.94,3.24,4.29,10.21,-3.82,6.83
140,S02,1,20,congruent,house,593.0,1,3.1,3.26,3.46,5.49,11.23,-2.41,8.02
141,S02,1,21,congruent,house,529.3,1,4.7,2.96,3.19,3.66,8.72,-4.53,8.82
142,S02,1,22,congruent,house,610.1,1,4.6,3.46,3.7,4.57,7.59,-2.43,6.31
143,S02,1,23,incongruent,house,625.4,1,3.6,2.82,3.09,5.11,8.5,-4.25,7.03
144,S02,1,24,congruent,house,497.6,1,4.8,3.25,3.52,4.93,8.61,-2.67,8.01
145,S02,1,25,incongruent,face,553.9,1,4.5,2.37,2.92,3.17,7.86,-3.27,5.96
146,S02,1,26,incongruent,house,551.8,1,2.8,3.38,3.83,4.47,8.5,-3.72,7.61
147,S02,1,27,congruent,face,515.8,1,5.0,2.76,3.17,4.48,8.01,-4.98,6.68
148,S02,1,28,incongruent,face,593.3,1,2.6,3.01,3.31,4.77,7.51,-5.17,9.2
149,S02,1,29,incongruent,face,509.1,1,4.3,2.84,3.37,4.46,8.26,-4.89,6.63
150,S02,1,30,congruent,face,521.8,1,3.6,3.22,3.52,4.44,8.88,-3.5,7.47
151,S02,2,1,congruent,face,610.3,1,4.6,2.63,2.92,5.6,9.99,-4.13,7.02
152,S02,2,2,congruent,face,522.7,1,3.9,3.15,3.37,3.94,7.77,-3.91,8.56
153,S02,2,3,congruent,house,550.0,1,4.3,3.08,3.31,6.05,9.46,-3.37,8.41
154,S02,2,4,congruent,house,482.8,0,2.8,2.82,3.2,4.94,8.48,-0.92,8.72
155,S02,2,5,congruent,face,605.6,1,4.1,2.93,3.26,4.83,9.42,-5.09,7.98
156,S02,2,6,incongruent,face,529.0,1,4.5,2.45,2.92,4.97,10.17,-4.79,7.32
157,S02,2,7,congruent,face,567.2,1,4.8,2.85,3.16,5.15,10.19,-2.38,6.73
158,S02,2,8,congruent,face,489.3,1,4.4,3.13,3.32,5.04,7.93,-3.14,11.8
159,S02,2,9,incongruent,face,615.2,0,1.6,2.95,3.31,4.29,10.67,-4.03,6.93
160,S02,2,10,incongruent,face,581.2,1,4.1,3.23,3.67,5.06,6.91,-6.28,6.03
161,S02,2,11,congruent,face,476.1,1,4.1,2.56,2.77,4.79,9.86,-5.45,8.02
162,S02,2,12,incongruent,face,624.0,1,3.8,2.94,3.43,5.44,9.36,-4.17,7.55
163,S02,2,13,incongruent,house,640.2,0,1.6,3.49,3.96,4.1,8.34,-1.93,6.01
164,S02,2,14,incongruent,house,664.0,1,3.5,3.15,3.63,5.65,10.29,-2.5,7.09
165,S02,2,15,congruent,face,538.8,1,4.6,3.24,3.52,3.93,9.48,-4.33,8.07
166,S02,2,16,congruent,house,522.4,1,4.8,3.12,3.59,4.24,10.39,-3.5,7.31
167,S02,2,17,incongruent,house,615.4,1,4.0,3.02,3.68,5.58,8.34,-3.39,5.08
168,S02,2,18,incongruent,face,572.6,1,4.1,3.28,3.67,4.55,8.87,-3.7,6.87
169,S02,2,19,incongruent,face,555.5,1,3.4,3.43,3.93,5.72,10.1,-1.49,4.01
170,S02,2,20,incongruent,house,573.3,1,3.3,3.03,3.38,5.53,9.26,-2.22,7.11
171,S02,2,21,congruent,face,629.5,1,2.8,2.85,2.99,4.51,9.25,-4.77,10.62
172,S02,2,22,incongruent,house,633.7,1,3.4,3.11,3.57,4.0,8.98,-2.69,6.1
173,S02,2,23,congruent,house,538.0,1,4.5,3.37,3.63,4.18,10.53,-2.09,7.19
174,S02,2,24,incongruent,house,645.1,1,5.0,2.88,3.33,5.31,9.08,-3.35,4.32
175,S02,2,25,incongruent,house,604.9,1,3.3,3.16,3.62,5.71,11.82,-2.42,7.08
176,S02,2,26,congruent,house,488.1,1,3.5,2.84,3.12,4.44,8.92,-3.0,9.52
177,S02,2,27,incongruent,house,643.4,1,3.7,2.7,3.09,5.26,10.6,-3.74,6.28
178,S02,2,28,congruent,house,438.8,1,3.3,3.18,3.48,5.26,10.66,-5.08,6.7
179,S02,2,29,congruent,face,555.5,1,4.5,3.05,3.18,4.18,9.9,-5.39,8.68
180,S02,2,30,congruent,face,539.7,0,2.0,3.57,3.81,3.11,10.88,-4.29,9.35
181,S02,3,1,congruent,house,562.3,1,5.0,3.34,3.5,4.81,11.37,-1.5,7.2
182,S02,3,2,incongruent,face,630.7,1,3.6,2.97,3.4,4.96,7.53,-7.06,5.79
183,S02,3,3,congruent,face,621.1,1,5.0,3.17,3.51,4.7,11.04,-4.24,8.49
184,S02,3,4,incongruent,house,588.0,1,5.0,3.03,3.52,6.18,10.57,-2.69,3.06
185,S02,3,5,congruent,house,612.1,1,4.8,2.87,3.03,4.68,9.96,-3.19,7.92
186,S02,3,6,incongruent,house,638.6,1,4.7,3.47,3.9,3.86,8.97,-1.89,5.04
187,S02,3,7,congruent,face,601.6,1,4.6,3.26,3.53,4.64,7.98,-6.49,8.01
188,S02,3,8,congruent,face,588.4,1,5.0,2.85,3.1,4.84,12.44,-2.82,9.37
189,S02,3,9,incongruent,face,624.5,1,3.9,3.07,3.65,5.05,5.67,-3.8,5.42
190,S02,3,10,incongruent,face,585.1,1,4.7,2.72,3.13,5.78,7.86,-5.91,7.34
191,S02,3,11,congruent,house,457.8,1,2.9,3.18,3.39,3.69,9.47,-2.88,6.9
192,S02,3,12,incongruent,house,580.9,1,4.3,2.93,3.31,4.15,9.55,-3.05,3.08
193,S02,3,13,incongruent,face,659.9,1,3.1,3.38,3.94,4.78,7.84,-3.68,3.14
194,S02,3,14,incongruent,face,576.4,1,3.8,3.13,3.67,6.77,7.91,-4.32,8.95
195,S02,3,15,congruent,face,488.2,1,3.9,2.86,3.06,4.69,10.59,-4.43,7.9
196,S02,3,16,incongruent,face,545.3,1,4.7,3.75,4.17,4.98,9.52,-3.48,5.65
197,S02,3,17,congruent,house,508.8,1,4.2,3.35,3.58,3.21,7.7,-3.96,5.96
198,S02,3,18,congruent,house,492.5,1,3.6,2.99,3.38,4.96,10.02,-3.16,7.19
199,S02,3,19,incongruent,face,548.2,1,2.7,3.15,3.66,5.1,10.78,-5.18,6.7
200,S02,3,20,congruent,house,541.5,1,4.2,3.31,3.7,4.5,10.98,-3.4,8.87
201,S02,3,21,congruent,house,645.5,1,2.6,2.96,3.34,4.89,10.3,-1.69,8.48
202,S02,3,22,incongruent,house,642.4,1,4.4,3.33,3.75,4.88,11.25,-2.48,7.53
203,S02,3,23,congruent,house,546.5,1,4.5,2.67,2.93,5.75,9.74,-4.5,10.45
204,S02,3,24,congruent,house,542.8,1,4.9,2.96,3.34,4.88,10.29,-2.55,7.56
205,S02,3,25,congruent,house,507.1,1,4.5,3.26,3.58,4.79,9.62,-1.91,7.74
206,S02,3,26,congruent,face,520.0,1,2.9,3.22,3.37,4.42,8.88,-6.39,8.34
207,S02,3,27,congruent,face,571.8,1,5.0,3.19,3.47,5.43,11.42,-3.17,6.48
208,S02,3,28,congruent,face,553.8,1,4.4,3.67,4.0,5.53,9.62,-4.37,8.33
209,S02,3,29,congruent,face,591.0,1,3.4,3.34,3.62,4.74,9.95,-3.31,7.92
210,S02,3,30,incongruent,face,602.9,1,3.5,3.64,4.13,5.8,6.67,-5.12,8.13
211,S02,4,1,congruent,face,580.7,1,5.0,3.08,3.37,5.33,8.32,-5.29,7.52
212,S02,4,2,congruent,house,486.1,1,4.7,2.95,3.2,3.2,9.19,-2.71,9.1
213,S02,4,3,incongruent,house,570.2,1,5.0,3.15,3.56,5.19,10.82,-1.23,5.26
214,S02,4,4,congruent,house,550.1,1,4.1,3.1,3.47,5.35,9.6,-2.91,8.73
215,S02,4,5,incongruent,house,597.0,1,3.4,3.46,3.9,6.45,8.58,-2.41,9.75
216,S02,4,6,congruent,house,460.6,1,3.5,3.09,3.33,4.69,8.86,-2.88,8.43
217,S02,4,7,congruent,house,530.4,1,3.8,3.13,3.38,4.31,9.98,-3.36,8.77
218,S02,4,8,congruent,face,513.1,1,3.9,3.19,3.6,4.86,7.27,-3.85,9.53
219,S02,4,9,incongruent,house,569.9,1,4.2,2.66,3.09,6.2,6.91,-3.98,4.96
220,S02,4,10,incongruent,face,572.5,1,4.8,3.22,3.69,5.58,7.57,-3.44,4.84
221,S02,4,11,congruent,house,555.5,1,4.4,2.38,2.69,4.42,9.94,-1.99,7.7
222,S02,4,12,congruent,house,539.6,1,4.2,3.14,3.5,3.74,10.21,-1.41,5.37
223,S02,4,13,incongruent,face,572.3,0,2.8,3.56,3.91,4.48,7.04,-2.57,5.75
224,S02,4,14,incongruent,house,582.9,1,3.9,3.71,4.28,4.7,9.98,-3.53,3.91
225,S02,4,15,congruent,house,593.1,1,4.0,3.29,3.6,4.22,8.06,-2.59,9.31
226,S02,4,16,congruent,house,574.7,1,4.6,3.32,3.54,3.37,9.36,-1.81,7.04
227,S02,4,17,incongruent,house,679.9,1,4.6,3.34,3.84,5.13,9.0,-3.13,10.09
228,S02,4,18,congruent,house,525.1,1,3.4,3.48,3.7,4.85,11.28,-2.32,7.93
229,S02,4,19,congruent,house,520.0,1,5.0,3.07,3.29,4.14,11.32,-2.02,8.58
230,S02,4,20,incongruent,face,614.8,1,3.9,3.34,3.86,4.61,7.57,-4.19,8.82
231,S02,4,21,congruent,face,472.1,1,3.8,2.99,3.23,4.51,8.76,-5.76,8.89
232,S02,4,22,congruent,face,571.9,1,4.3,3.27,3.47,4.51,9.26,-2.46,10.49
233,S02,4,23,incongruent,house,559.8,0,3.6,2.85,3.34,5.22,9.87,-2.47,8.07
234,S02,4,24,congruent,house,538.4,0,3.3,3.28,3.51,3.77,9.32,-3.32,8.9
235,S02,4,25,congruent,face,598.4,1,4.3,2.89,3.3,4.46,9.55,-4.64,6.55
236,S02,4,26,incongruent,face,617.5,1,5.0,2.83,3.18,5.66,10.44,-4.24,7.2
237,S02,4,27,congruent,house,497.7,1,4.2,2.54,2.71,4.12,9.0,-2.3,8.23
238,S02,4,28,congruent,face,567.9,1,4.1,3.18,3.5,4.6,8.92,-4.63,6.66
239,S02,4,29,congruent,house,516.2,0,2.1,3.34,3.63,3.9,10.97,-3.26,5.83
240,S02,4,30,congruent,face,509.8,1,4.1,3.39,3.67,3.66,10.05,-4.78,10.44
241,S03,1,1,incongruent,face,728.5,1,5.0,3.56,4.01,6.34,7.73,-4.08,3.62
242,S03,1,2,incongruent,house,694.0,1,4.7,3.17,3.59,5.48,8.3,-1.83,7.05
243,S03,1,3,incongruent,house,601.1,1,5.0,3.0,3.47,6.85,10.72,-2.68,4.99
244,S03,1,4,incongruent,house,734.6,1,4.4,3.28,3.91,4.88,10.11,-2.99,1.88
245,S03,1,5,congruent,face,681.3,1,4.2,3.59,3.85,4.88,9.77,-5.04,6.84
246,S03,1,6,congruent,house,732.8,1,5.0,3.09,3.53,4.86,9.96,-3.28,6.97
247,S03,1,7,congruent,face,596.9,1,4.0,2.95,3.49,4.84,11.25,-4.5,7.16
248,S03,1,8,incongruent,house,704.3,1,5.0,3.16,3.8,6.15,11.15,-2.76,8.75
249,S03,1,9,congruent,house,614.9,1,4.7,3.02,3.48,5.38,12.36,-4.25,6.43
250,S03,1,10,congruent,face,568.6,1,3.9,3.28,3.83,4.65,8.89,-4.18,8.18
251,S03,1,11,congruent,face,705.0,0,1.5,2.79,3.27,5.18,8.49,-4.47,6.82
252,S03,1,12,incongruent,face,651.3,0,3.1,3.08,3.65,4.84,9.03,-3.21,6.08
253,S03,1,13,congruent,house,631.8,1,5.0,3.07,3.36,4.56,10.24,-3.07,7.48
254,S03,1,14,congruent,face,697.4,1,4.8,2.87,3.15,4.85,8.86,-5.44,6.18
255,S03,1,15,incongruent,house,710.2,1,4.2,3.72,4.26,5.5,9.2,-2.44,6.01
256,S03,1,16,incongruent,face,674.4,1,4.2,2.71,3.3,6.59,7.57,-4.31,2.98
257,S03,1,17,congruent,house,648.4,1,4.3,2.97,3.29,5.42,8.61,-3.61,7.02
258,S03,1,18,incongruent,face,768.1,1,4.8,2.9,3.58,4.91,10.19,-4.96,8.22
259,S03,1,19,incongruent,face,688.9,0,3.6,3.08,3.62,6.23,8.76,-5.59,4.26
260,S03,1,20,congruent,house,724.1,1,4.6,3.17,3.59,4.43,9.82,-3.52,5.05
261,S03,1,21,incongruent,house,755.3,1,4.3,3.24,3.77,5.99,8.33,-2.33,6.34
262,S03,1,22,congruent,face,659.7,1,3.7,2.82,3.28,5.65,10.04,-2.33,6.54
263,S03,1,23,incongruent,face,702.2,1,3.8,3.19,3.79,5.62,10.73,-4.06,5.78
264,S03,1,24,incongruent,face,731.2,1,3.7,2.91,3.65,5.52,6.85,-5.0,5.33
265,S03,1,25,incongruent,face,742.8,1,4.3,2.88,3.36,5.06,7.17,-3.24,6.36
266,S03,1,26,incongruent,face,714.2,1,2.9,3.32,3.86,6.14,9.06,-5.29,3.3
267,S03,1,27,congruent,face,688.5,1,3.4,2.92,3.25,3.95,7.69,-5.12,6.92
268,S03,1,28,incongruent,house,719.2,0,2.0,3.05,3.66,5.41,8.51,-1.54,4.97
269,S03,1,29,congruent,house,654.0,1,4.3,3.36,3.67,4.93,9.93,-2.0,5.36
270,S03,1,30,congruent,face,678.4,1,4.9,3.66,4.1,5.9,9.5,-5.96,4.22
271,S03,2,1,congruent,face,616.2,1,4.5,2.74,3.06,5.96,8.11,-3.43,6.12
272,S03,2,2,incongruent,house,773.8,1,4.7,2.81,3.43,5.1,9.51,-2.44,6.08
273,S03,2,3,incongruent,face,651.7,0,3.0,3.39,3.91,4.72,9.76,-4.67,5.88
